Data,Descrição,Departamento,Fundação,Valor,UFSM,Departamento,Inventor
14/10/2022,QP Comércio Comércio e Produção de Mudas e Insumos LTDA,Fitotecnia ,FUNDEP,"R$ 2229,48 ","R$ 743,16","R$ 743,16","R$ 743,16"
18/10/2022,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FATEC,"R$ 51.536,81","R$ 25.768,41","R$ 25.768,41",
4/11/2022,SI Service Tecnologia da Informação Ltda,Eng. Rural,FATEC,"R$ 1.801,97","R$ 900,99","R$ 900,99",
8/3/2023,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 47.100,57","R$ 21.195,26","R$ 21.195,26",
8/3/2023,Huawei do Brasil Telecomunicações,CPD,FUNDEP,"R$ 108.631,00","R$ 32.589,30","R$ 32.589,30","R$ 32.589,30"
10/4/2023,QP Comércio Comércio e Produção de Mudas e Insumos LTDA,Fitotecnia ,FUNDEP,"R$ 538,26","R$ 179,42","R$ 179,42","R$ 179,42"
2/5/2023,SI Service Tecnologia da Informação Ltda,Eng. Rural,FUNDEP,"R$ 143,99","R$ 72,00","R$ 72,00",
24/4/2023,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 52.543,84","R$ 23.644,73","R$ 23.644,73",
21/7/2023,SI Service Tecnologia da Informação Ltda,Eng. Rural,FUNDEP,"R$ 327,80","R$ 163,90","R$ 163,90",
25/7/2023,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 51.182,72","R$ 23.032,22","R$ 23.032,22",
18/9/2023,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 17.098,60","R$ 7.694,37","R$ 7.694,37",
5/10/2023,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 17.301,92","R$ 7.785,86","R$ 7.785,86",
6/11/2023,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 17.421,92","R$ 7.839,86","R$ 7.839,86",
5/12/2023,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 24.801,92","R$ 11.160,86","R$ 11.160,86",
5/12/2023,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 39.000,00","R$ 17.550,00","R$ 17.550,00",
2/1/2024,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 18.757,77","R$ 8.441,00","R$ 8.441,00",
9/2/2024,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 20.396,38","R$ 9.178,37","R$ 9.178,37",
15/1/2024,Auftek,CPD,FUNDEP,"R$ 2.555,90","R$ 766,77","R$ 766,77","R$ 766,77"
9/2/2024,QP Comércio Comércio e Produção de Mudas e Insumos LTDA,Fitotecnia ,FUNDEP,"R$ 1.075,98","R$ 358,66","R$ 358,66",
13/3/2024,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 20.493,32","R$ 9.221,99","R$ 9.221,99",
27/3/2024,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 22.052,14","R$ 9.923,46","R$ 9.923,46",
7/5/2024,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 19.829,51","R$ 8.923,28","R$ 8.923,28",
03/06/24,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 19.829,51","R$ 8.923,28","R$ 8.923,28",
27/06/24,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 19.829,51","R$ 8.923,28","R$ 8.923,28",
20/02/24,Luiz Alfredo Dittgen Miritz – ME nome fantasia “Som Maior Proaudio” ,CPD,FUNDEP,"R$ 864,00","R$ 259,20","R$ 259,20","R$ 259,20"
01/08/24,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 19.829,51","R$ 8.923,28","R$ 8.923,28",
02/09/24,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 19.829,51","R$ 8.923,28","R$ 8.923,28",
02/10/24,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 17.398,74","R$ 7.829,43","R$ 7.829,43",
01/11/24,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 18.422,91","R$ 8.290,31","R$ 8.290,31",
28/11/24,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 18.896,29","R$ 8.503,33","R$ 8.503,33",
14/10/24,Auftek,CPD,FUNDEP,"R$ 650,00","R$ 195,00","R$ 195,00","R$ 195,00"
20/11/24,INGAL,,FUNDEP,"R$ 204,68","R$ 61,40","R$ 61,40","R$ 61,40"
20/11/24,INGAL,,FUNDEP,"R$ 1.333,62","R$ 400,09","R$ 400,09","R$ 400,09"
06/01/25,AVMB - Consultoria e Assessoria em Informática Ltda.,CPD,FUNDEP,"R$ 18.989,72","R$ 8.545,37","R$ 8.545,37",
19/12/24,QP Comércio Comércio e Produção de Mudas e Insumos LTDA,,FUNDEP,"R$ 2.164,91","R$ 649,47","R$ 649,47","R$ 649,47"
20/01/25,Auftek,,FUNDEP,"R$ 1.664,00","R$ 499,20","R$ 499,20","R$ 499,20"
